15:43:05 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@50b81df9
16:04:45 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@202b7526
16:05:40 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@202b7526
16:06:35 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@202b7526
16:07:30 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@202b7526
16:08:25 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@202b7526
16:09:20 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@202b7526
16:13:05 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75bea82f
16:41:25 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@63ca4dd0
16:42:20 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@63ca4dd0
16:46:25 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:47:20 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:48:15 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:49:10 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:50:05 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:51:00 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:51:55 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:52:50 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:53:45 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@75ecf48
16:56:25 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@778f3a48
16:57:20 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@778f3a48
16:58:15 [HEART]	 SELF 	 [648495]Server did not receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@778f3a48
17:00:42 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@4ef51633
17:01:37 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@4ef51633
17:02:32 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@4ef51633
17:03:27 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@4ef51633
17:04:22 [HEART]	 SELF 	 [648495]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@4ef51633
