08:46:56 [ERROR]	 SELF 	 (648534)	 Failed to InsertModuleInfo:LOGIN<ModuleLoginHandle.java: Line 95>
08:47:01 [ERROR]	 SELF 	 (648534)	 Failed to InsertModuleInfo:LOGIN<ModuleLoginHandle.java: Line 95>
08:47:11 [ERROR]	 SEND 	 user(smli123hz) is offline.<ICallFunction.java: Line 374>
10:41:36 [ERROR]	 RECV 	 (/192.168.0.100:5003)	 Invalid Msg Header:20170928104134,SETSERVER,test,648534,0#<ServerWorkThread.java: Line 794>
11:41:21 [ERROR]	 SEND 	 user(smli123hz) is offline.<ICallFunction.java: Line 374>
14:42:57 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:42:57 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:42:57 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:42:57 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:42:58 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:42:58 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:42:59 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:42:59 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:00 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:00 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:01 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:01 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:01 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:01 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:01 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:01 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:02 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:02 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:03 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:03 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:04 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:04 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:04 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:04 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:05 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:05 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:05 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:05 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
14:43:06 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE IP<ServerWorkThread.java: Line 556>
14:43:06 [ERROR]	 SELF 	 Module(648534) not login. NO MODULE Port<ServerWorkThread.java: Line 568>
