10:37:19 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@65384e8e
10:38:14 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@65384e8e
10:41:29 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:42:24 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:43:19 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:44:14 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:45:09 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:46:04 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:46:59 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:47:54 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:48:49 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:49:44 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:50:39 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:51:34 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:52:29 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:53:24 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:54:19 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:55:14 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:56:09 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:57:04 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:57:59 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:58:54 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
10:59:49 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
11:00:44 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
11:01:39 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
11:02:34 [HEART]	 SELF 	 [648534]Server receive heart package.TaskTimer:com.thingzdo.smartplug.udpserver.Function.ModuleHeartBeatTask@2b864488
